I_mean,Q_mean,I_var,Q_var,I_sd,Q_sd,I_power,Q_power,IQ_power,IQ_mean,IQ_sd,SNR,Modulation
0.0067625856,-0.03888583,0.4894001,0.4926541,0.6995714,0.7018932,0.4894458,0.49416614,0.98361194,0.8756881,0.4655989,-20,0
-0.006601253,0.0041704616,0.50586545,0.4805386,0.7112422,0.69320893,0.505909,0.48055598,0.98646504,0.8813194,0.45797506,-20,0
-0.014580008,-0.016957197,0.50366724,0.50538915,0.70969516,0.7109073,0.5038798,0.5056767,1.0095565,0.8914393,0.46356484,-20,0
-0.0041148793,0.0158557,0.47624052,0.4782437,0.6901018,0.6915517,0.47625747,0.47849506,0.95475256,0.8622117,0.45972118,-20,0
0.0031931845,0.028227713,0.46558392,0.51433456,0.6823371,0.7171712,0.4655941,0.5151314,0.9807255,0.87611645,0.46167678,-20,0
0.012514907,-0.024706464,0.49701393,0.50929207,0.7049922,0.713647,0.49717054,0.5099025,1.007073,0.89509976,0.45372835,-20,0
-0.023454526,-0.004354313,0.48942095,0.51049864,0.6995863,0.7144919,0.48997107,0.51051766,1.0004888,0.882416,0.47098905,-20,0
-0.0074902303,0.03566867,0.48075515,0.5201324,0.6933651,0.7212021,0.48081124,0.5214047,1.002216,0.87993014,0.47742945,-20,0
-0.0029723532,0.037228923,0.4919076,0.5312589,0.70136124,0.7288751,0.49191642,0.53264487,1.0245613,0.8956898,0.47148818,-20,0
0.013618423,-0.01443973,0.48365647,0.5126214,0.6954541,0.7159758,0.48384193,0.5128299,0.9966718,0.88232243,0.46709627,-18,0
0.023032375,-0.013966539,0.5091974,0.48855275,0.7135807,0.6989655,0.50972784,0.48874784,0.99847573,0.88580465,0.462413,-18,0
0.006423454,-0.019977966,0.47495168,0.49177945,0.6891674,0.70126987,0.47499293,0.49217862,0.96717155,0.87422466,0.45044726,-18,0
-0.0035702921,0.01736737,0.49702814,0.5093051,0.70500225,0.7136562,0.4970409,0.5096067,1.0066476,0.88313603,0.4761496,-18,0
0.008977279,0.008597881,0.50240004,0.48933762,0.7088018,0.6995267,0.5024806,0.48941153,0.9918922,0.88524425,0.45632768,-18,0
-0.015156994,-0.056999143,0.49316472,0.48367232,0.70225686,0.69546556,0.49339443,0.48692122,0.9803157,0.87146723,0.4699581,-18,0
0.011731649,0.03617739,0.46811497,0.523169,0.68418926,0.7233042,0.4682526,0.52447784,0.9927304,0.8881233,0.4516276,-18,0
0.015032443,0.0034454241,0.48646858,0.49728027,0.697473,0.705181,0.48669457,0.49729213,0.98398674,0.8814529,0.45500267,-18,0
-0.002787685,0.007862441,0.5129286,0.4740575,0.71619034,0.68851835,0.5129365,0.47411928,0.98705566,0.87821555,0.46453553,-18,0
-0.024357807,-0.02867429,0.4771914,0.50077075,0.6907904,0.70765156,0.4777847,0.50159293,0.9793776,0.8742628,0.46372646,-18,0
-0.0028076605,0.006362972,0.48482978,0.50405633,0.69629717,0.7099692,0.48483768,0.50409687,0.9889345,0.881411,0.4604879,-18,0
0.03944658,0.01983444,0.4991901,0.51468587,0.70653385,0.7174161,0.50074613,0.51507926,1.0158254,0.8927192,0.46784377,-16,0
0.033251613,-0.008568327,0.46101815,0.49835986,0.67898315,0.7059461,0.4621238,0.4984333,0.9605571,0.86783874,0.4554261,-16,0
-0.008960912,-0.017297324,0.52312464,0.4827683,0.7232736,0.6948153,0.5232049,0.4830675,1.0062724,0.8803454,0.4808995,-16,0
-0.0030805436,0.013515207,0.5112009,0.47425354,0.71498317,0.6886607,0.5112104,0.47443616,0.98564655,0.87884116,0.46182758,-16,0
-0.008446613,0.019301273,0.48432827,0.4822448,0.695937,0.69443846,0.48439962,0.48261735,0.967017,0.8663591,0.46522987,-14,0
0.027565265,-0.00014139898,0.5020243,0.5224126,0.70853674,0.7227812,0.50278413,0.5224126,1.0251968,0.8974898,0.4687311,-14,0
0.011375295,-0.038275883,0.50987756,0.5092489,0.7140571,0.7136168,0.51000696,0.510714,1.020721,0.8954948,0.46777126,-14,0
-0.0022198288,0.059307765,0.47576633,0.48627576,0.6897582,0.69733477,0.47577125,0.48979315,0.96556437,0.8738071,0.44947252,-12,0
-0.034612164,-4.2071566e-05,0.47826734,0.5190173,0.69156873,0.7204285,0.47946537,0.5190173,0.9984826,0.8926609,0.44904244,-12,0
-0.020210441,0.051072497,0.5069655,0.4716341,0.7120151,0.6867562,0.507374,0.47424248,0.9816165,0.88185906,0.45159835,-12,0
-0.07693086,0.05908798,0.4745617,0.49886212,0.6888844,0.7063017,0.48048007,0.5023535,0.98283356,0.8846438,0.44748065,-12,0
0.010938817,0.020371776,0.50840724,0.5236114,0.7130268,0.72361,0.5085269,0.5240265,1.0325534,0.8983547,0.47488126,-12,0
0.07737337,0.051161025,0.4911908,0.4833365,0.70085007,0.69522405,0.49717742,0.485954,0.9831314,0.87606394,0.46437415,-12,0
-0.02500451,-0.10491915,0.50372195,0.50180376,0.7097337,0.70838106,0.5043472,0.5128118,1.017159,0.8912897,0.47197634,-12,0
-0.06793229,-0.042112954,0.4930439,0.5262507,0.70217085,0.7254314,0.49765867,0.5280242,1.0256829,0.89914125,0.4660771,-12,0
-0.035185777,-0.054347023,0.5266165,0.49524498,0.72568345,0.7037364,0.52785456,0.49819857,1.0260532,0.8961138,0.47226387,-12,0
-0.06717633,-0.009901376,0.5025662,0.51296973,0.70891905,0.71621907,0.5070789,0.5130678,1.0201466,0.9021647,0.4541426,-12,0
0.07520604,-0.0063013746,0.52820086,0.49231076,0.7267743,0.7016486,0.53385675,0.49235052,1.0262072,0.8971952,0.47037005,-10,0
-0.057835743,-0.04279851,0.47620118,0.49009052,0.6900733,0.70006466,0.47954613,0.49192223,0.9714683,0.8828277,0.43827352,-10,0
0.05851699,-0.05623203,0.5004002,0.4862982,0.7073897,0.69735086,0.5038245,0.48946026,0.99328464,0.88439405,0.45949084,-10,0
-0.06162157,0.1367987,0.50181556,0.5048594,0.7083894,0.7105346,0.5056128,0.5235733,1.029186,0.8976305,0.4727002,-10,0
0.07102287,0.05895974,0.48278844,0.49805704,0.6948298,0.7057316,0.48783273,0.50153327,0.989366,0.8831811,0.45755568,-10,0
-0.010109155,-0.13875985,0.48449293,0.50815237,0.69605523,0.71284807,0.4845951,0.52740663,1.0120018,0.89168787,0.46571928,-10,0
-0.029280283,-0.06529523,0.48448318,0.47276896,0.69604826,0.68758196,0.48534054,0.47703242,0.9623729,0.8700763,0.4531447,-10,0
-0.06885323,-0.04767168,0.5205076,0.4953598,0.72146213,0.703818,0.5252484,0.4976324,1.0228808,0.89659417,0.467974,-10,0
0.021919526,0.10092418,0.48972163,0.5222298,0.69980115,0.7226547,0.4902021,0.5324155,1.0226176,0.89076287,0.47870573,-10,0
0.09676032,0.03643649,0.4884348,0.49878222,0.6988811,0.7062451,0.49779737,0.5001098,0.99790716,0.8839785,0.46528396,-10,0
0.017195059,-0.16408181,0.52861387,0.53511333,0.72705835,0.7315144,0.52890956,0.56203616,1.0909457,0.9264046,0.4824109,-8,0
-0.09996324,-0.13795331,0.510731,0.50213754,0.71465445,0.7086166,0.52072364,0.52116865,1.0418923,0.9043471,0.47333783,-8,0
-0.0003483612,-0.13280648,0.5275548,0.5074105,0.7263297,0.71232754,0.527555,0.52504814,1.052603,0.912125,0.4697138,-8,0
0.05819711,-0.08899649,0.4955775,0.5091357,0.70397264,0.71353745,0.49896437,0.51705605,1.0160205,0.88424313,0.48387447,-8,0
-0.17097609,-0.012648745,0.52184176,0.49659526,0.7223862,0.70469517,0.55107456,0.49675524,1.0478299,0.9033141,0.48151162,-8,0
-0.1903234,0.1197202,0.4865899,0.50999016,0.69755995,0.71413594,0.52281284,0.5243231,1.0471361,0.90422714,0.4790712,-8,0
-0.11478077,0.12580054,0.46105558,0.51768506,0.67901075,0.71950334,0.47423023,0.5335108,1.007741,0.8942517,0.45613036,-8,0
-0.11254588,-0.06995055,0.47493818,0.52480614,0.6891576,0.72443503,0.4876048,0.5296992,1.017304,0.88891983,0.47657692,-8,0
0.2169758,0.085107714,0.49837285,0.50907165,0.70595527,0.7134926,0.5454514,0.516315,1.0617664,0.91872436,0.46659613,-6,0
-0.17002267,0.17154366,0.48726988,0.54498184,0.69804716,0.73822886,0.5161776,0.57440907,1.0905867,0.9222203,0.48999628,-6,0
-0.048632845,0.26086316,0.46094123,0.515065,0.6789265,0.7176803,0.46330637,0.5831146,1.046421,0.90507567,0.47671685,-6,0
-0.23565012,-0.0477487,0.5068464,0.49901748,0.71193147,0.7064117,0.56237745,0.5012975,1.0636749,0.91207325,0.48145324,-6,0
-0.058837526,-0.28577498,0.50059634,0.5051985,0.70752835,0.71077317,0.50405824,0.5868658,1.090924,0.92769873,0.4798949,-6,0
0.18667752,-0.082109764,0.5275883,0.4870878,0.72635275,0.69791675,0.5624368,0.49382982,1.0562665,0.9069567,0.48342144,-6,0
0.11147882,0.19097933,0.4728708,0.48511904,0.68765604,0.6965049,0.48529834,0.52159214,1.0068904,0.8964645,0.45082346,-6,0
0.3300158,0.00020100549,0.55029577,0.46636164,0.7418192,0.68290675,0.6592062,0.46636167,1.1255679,0.9319016,0.5070773,-4,0
-0.23681599,0.30060774,0.5025927,0.5117513,0.7089377,0.715368,0.55867445,0.6021163,1.1607908,0.95943743,0.49017406,-4,0
-0.29689503,0.18575788,0.53350735,0.47192264,0.7304159,0.68696624,0.62165403,0.50642866,1.1280828,0.9399348,0.49457583,-4,0
-0.30377853,0.17109354,0.5331011,0.47711685,0.7301377,0.6907365,0.6253825,0.50638986,1.1317723,0.9382678,0.5014238,-4,0
0.22652027,0.30408552,0.49679586,0.5050831,0.7048375,0.710692,0.54810727,0.5975511,1.1456583,0.94543076,0.50181586,-4,0
0.055143315,-0.31620845,0.4385992,0.51779735,0.6622682,0.71958137,0.44164,0.6177851,1.0594251,0.9109802,0.47910342,-4,0
0.011991171,0.34206957,0.46256512,0.53669274,0.6801214,0.7325932,0.4627089,0.6537044,1.1164132,0.93690765,0.48848462,-4,0
0.29512283,0.1231311,0.5247338,0.45473692,0.7243851,0.67434186,0.61183125,0.46989816,1.0817294,0.91847426,0.48799023,-4,0
0.1461131,-0.31008834,0.4807024,0.5560787,0.69332707,0.74570686,0.5020514,0.6522334,1.154285,0.9528212,0.49640366,-4,0
0.024208996,0.3233288,0.42759097,0.5607283,0.6539044,0.7488179,0.42817706,0.66526985,1.0934469,0.923196,0.49107626,-4,0
0.40355232,0.10310723,0.56938106,0.41503987,0.7545734,0.64423585,0.73223555,0.42567092,1.1579065,0.9522582,0.5011095,-2,0
-0.09646328,-0.48786947,0.4270846,0.60416746,0.65351707,0.7772821,0.43638974,0.84218407,1.2785738,0.99967796,0.52841073,-2,0
-0.13804096,-0.5519162,0.41236806,0.5677552,0.6421589,0.75349534,0.4314234,0.87236667,1.3037901,1.0149071,0.5232145,-2,0
-0.21897112,-0.44256407,0.44355264,0.5617151,0.6659975,0.74947655,0.491501,0.75757813,1.2490791,0.99228597,0.5142448,-2,0
0.2810286,0.4831801,0.4310763,0.5585439,0.656564,0.74735796,0.51005334,0.792007,1.3020604,1.006872,0.536907,-2,0
-0.6168067,0.30823573,0.57889736,0.38689786,0.76085305,0.6220111,0.95934784,0.48190713,1.441255,1.0602849,0.56307274,0,0
0.009213047,-0.6756255,0.3104735,0.7167933,0.5572015,0.8466365,0.31055838,1.1732631,1.4838214,1.0647056,0.5917968,0,0
